# Simulation 6 (Up to date)
# 13481 data points written for 4 variables.
# Simulation warnings:
#   Listeners modified the flight simulation
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (110 ft/s)
#   Forward end of airframe is open (radius is > 0):  "Transition"
#
# Time (s),Longitudinal moment of inertia (kg·m²),Corrective moment coefficient (),Damping moment coefficient (​)
16.041,0.049,1.802e5,1.086
16.091,0.049,1.815e5,1.081
16.141,0.049,1.827e5,1.076
16.191,0.049,1.84e5,1.075
16.193,0.049,1.84e5,1.076
16.197,0.049,1.841e5,1.077
16.202,0.049,1.843e5,1.077
16.211,0.049,1.845e5,1.076
16.224,0.049,1.848e5,1.074
16.243,0.049,1.853e5,1.071
16.271,0.049,1.86e5,1.067
16.314,0.049,1.871e5,1.062
16.364,0.049,1.884e5,1.058
16.414,0.049,1.897e5,1.054
16.464,0.049,1.91e5,1.05
16.514,0.049,1.923e5,1.045
16.564,0.049,1.936e5,1.041
16.614,0.049,1.949e5,1.037
16.664,0.049,1.962e5,1.032
16.714,0.049,1.975e5,1.028
16.764,0.049,1.988e5,1.023
16.814,0.049,2.001e5,1.019
16.864,0.049,2.014e5,1.016
16.914,0.049,2.027e5,1.013
16.964,0.049,2.04e5,1.008
17.014,0.049,2.053e5,1.003
17.064,0.049,2.067e5,0.999
17.114,0.049,2.08e5,0.996
17.164,0.049,2.093e5,0.993
17.214,0.049,2.107e5,0.989
17.264,0.049,2.12e5,0.986
17.314,0.049,2.133e5,0.982
17.364,0.049,2.147e5,0.978
17.414,0.049,2.16e5,0.974
17.464,0.049,2.173e5,0.971
17.514,0.049,2.186e5,0.968
17.564,0.049,2.199e5,0.964
17.614,0.049,2.212e5,0.961
17.664,0.049,2.225e5,0.958
17.714,0.049,2.239e5,0.955
17.764,0.049,2.253e5,0.952
17.814,0.049,2.266e5,0.949
17.864,0.049,2.28e5,0.945
17.914,0.049,2.294e5,0.943
17.964,0.049,2.307e5,0.939
18.014,0.049,2.321e5,0.936
18.064,0.049,2.335e5,0.933
18.114,0.049,2.348e5,0.931
18.164,0.049,2.362e5,0.929
18.214,0.049,2.375e5,0.925
18.264,0.049,2.389e5,0.922
18.314,0.049,2.402e5,0.92
18.364,0.049,2.415e5,0.917
18.414,0.049,2.429e5,0.914
18.464,0.049,2.442e5,0.911
18.514,0.049,2.456e5,0.909
18.564,0.049,2.47e5,0.906
18.614,0.049,2.484e5,0.904
18.664,0.049,2.498e5,0.902
18.714,0.049,2.512e5,0.9
18.764,0.049,2.526e5,0.897
18.814,0.049,2.54e5,0.895
18.864,0.049,2.554e5,0.893
18.914,0.049,2.568e5,0.89
18.964,0.049,2.581e5,0.888
19.014,0.049,2.595e5,0.885
19.064,0.049,2.609e5,0.882
19.114,0.049,2.623e5,0.881
19.164,0.049,2.636e5,0.88
19.214,0.049,2.65e5,0.878
19.264,0.049,2.663e5,0.876
19.314,0.049,2.677e5,0.873
19.364,0.049,2.691e5,0.872
19.414,0.049,2.705e5,0.869
19.464,0.049,2.72e5,0.868
19.514,0.049,2.734e5,0.866
19.564,0.049,2.749e5,0.864
19.614,0.049,2.763e5,0.862
19.664,0.049,2.777e5,0.859
19.714,0.049,2.791e5,0.858
19.764,0.049,2.805e5,0.857
19.814,0.049,2.82e5,0.856
19.864,0.049,2.834e5,0.854
19.914,0.049,2.848e5,0.853
19.964,0.049,2.862e5,0.852
20.014,0.049,2.876e5,0.85
20.064,0.049,2.89e5,0.849
20.114,0.049,2.904e5,0.847
20.164,0.049,2.917e5,0.845
20.214,0.049,2.931e5,0.843
20.264,0.049,2.944e5,0.841
20.314,0.049,2.929e5,0.839
20.364,0.049,2.914e5,0.839
20.414,0.049,2.899e5,0.838
20.464,0.049,2.884e5,0.837
20.514,0.049,2.87e5,0.836
20.564,0.049,2.855e5,0.834
20.614,0.049,2.841e5,0.834
20.664,0.049,2.826e5,0.832
20.714,0.049,2.812e5,0.831
20.764,0.049,2.798e5,0.83
20.814,0.049,2.783e5,0.828
20.864,0.049,2.769e5,0.827
20.914,0.049,2.755e5,0.825
20.964,0.049,2.741e5,0.823
21.014,0.049,2.728e5,0.823
21.064,0.049,2.714e5,0.823
21.114,0.049,2.7e5,0.822
21.164,0.049,2.687e5,0.822
21.214,0.049,2.673e5,0.821
21.264,0.049,2.66e5,0.821
21.314,0.049,2.647e5,0.82
21.364,0.049,2.634e5,0.82
21.414,0.049,2.622e5,0.819
21.464,0.049,2.61e5,0.818
21.514,0.049,2.598e5,0.817
21.564,0.049,2.586e5,0.817
21.614,0.049,2.574e5,0.816
21.664,0.049,2.562e5,0.815
21.714,0.049,2.55e5,0.814
21.764,0.049,2.538e5,0.813
21.814,0.049,2.527e5,0.812
21.864,0.049,2.515e5,0.812
21.914,0.049,2.503e5,0.811
21.964,0.049,2.492e5,0.809
22.014,0.049,2.48e5,0.808
22.064,0.049,2.469e5,0.806
22.114,0.049,2.457e5,0.804
22.164,0.049,2.446e5,0.802
22.214,0.049,2.435e5,0.8
22.264,0.049,2.424e5,0.798
22.314,0.049,2.413e5,0.795
22.364,0.049,2.402e5,0.792
22.414,0.049,2.391e5,0.789
22.464,0.049,2.38e5,0.786
22.514,0.049,2.37e5,0.783
22.564,0.049,2.36e5,0.78
22.614,0.049,2.35e5,0.777
22.664,0.049,2.34e5,0.773
22.714,0.049,2.331e5,0.77
22.764,0.049,2.321e5,0.767
22.814,0.049,2.311e5,0.763
22.864,0.049,2.301e5,0.759
22.914,0.049,2.292e5,0.755
22.964,0.049,2.282e5,0.751
23.014,0.049,2.272e5,0.747
23.064,0.049,2.263e5,0.743
23.114,0.049,2.254e5,0.739
23.164,0.049,2.244e5,0.734
23.214,0.049,2.235e5,0.73
23.264,0.049,2.225e5,0.726
23.314,0.049,2.216e5,0.721
23.364,0.049,2.207e5,0.717
23.414,0.049,2.198e5,0.712
23.464,0.049,2.189e5,0.708
23.514,0.049,2.179e5,0.703
23.564,0.049,2.17e5,0.698
23.614,0.049,2.161e5,0.694
23.664,0.049,2.152e5,0.69
23.714,0.049,2.144e5,0.685
23.764,0.049,2.136e5,0.68
23.814,0.049,2.128e5,0.676
23.864,0.049,2.12e5,0.671
23.914,0.049,2.112e5,0.666
23.964,0.049,2.103e5,0.662
24.014,0.049,2.095e5,0.657
24.064,0.049,2.088e5,0.652
24.114,0.049,2.08e5,0.648
24.164,0.049,2.072e5,0.643
24.214,0.049,2.064e5,0.638
24.264,0.049,2.056e5,0.634
24.314,0.049,2.048e5,0.629
24.364,0.049,2.04e5,0.624
24.414,0.049,2.033e5,0.619
24.464,0.049,2.025e5,0.615
24.514,0.049,2.017e5,0.61
24.564,0.049,2.01e5,0.605
24.614,0.049,2.002e5,0.601
24.664,0.049,1.995e5,0.596
24.714,0.049,1.987e5,0.591
24.764,0.049,1.98e5,0.587
24.814,0.049,1.972e5,0.582
24.864,0.049,1.965e5,0.577
24.914,0.049,1.958e5,0.573
24.964,0.049,1.95e5,0.568
25.014,0.049,1.943e5,0.564
25.064,0.049,1.936e5,0.559
25.114,0.049,1.929e5,0.555
25.164,0.049,1.923e5,0.551
25.214,0.049,1.916e5,0.546
25.264,0.049,1.91e5,0.542
25.314,0.049,1.903e5,0.537
25.364,0.049,1.897e5,0.533
25.414,0.049,1.89e5,0.529
25.464,0.049,1.884e5,0.525
25.514,0.049,1.877e5,0.521
25.564,0.049,1.871e5,0.516
25.614,0.049,1.865e5,0.512
25.664,0.049,1.858e5,0.508
25.714,0.049,1.852e5,0.504
25.764,0.049,1.846e5,0.5
25.814,0.049,1.839e5,0.496
25.864,0.049,1.833e5,0.492
25.914,0.049,1.827e5,0.488
25.964,0.049,1.821e5,0.484
26.014,0.049,1.815e5,0.481
26.064,0.049,1.809e5,0.477
26.114,0.049,1.803e5,0.473
26.164,0.049,1.797e5,0.469
26.214,0.049,1.791e5,0.465
26.264,0.049,1.785e5,0.462
26.314,0.049,1.779e5,0.458
26.364,0.049,1.773e5,0.454
26.414,0.049,1.767e5,0.451
26.464,0.049,1.761e5,0.447
26.514,0.049,1.755e5,0.444
26.564,0.049,1.749e5,0.44
26.614,0.049,1.744e5,0.437
26.664,0.049,1.739e5,0.434
26.714,0.049,1.733e5,0.43
26.764,0.049,1.728e5,0.427
26.814,0.049,1.723e5,0.424
26.864,0.049,1.718e5,0.421
26.914,0.049,1.712e5,0.418
26.964,0.049,1.707e5,0.414
27.014,0.049,1.702e5,0.412
27.064,0.049,1.697e5,0.409
27.114,0.049,1.692e5,0.406
27.164,0.049,1.687e5,0.403
27.214,0.049,1.682e5,0.4
27.264,0.049,1.677e5,0.397
27.314,0.049,1.671e5,0.394
27.364,0.049,1.666e5,0.392
27.414,0.049,1.662e5,0.389
27.464,0.049,1.657e5,0.385
27.514,0.049,1.652e5,0.383
27.564,0.049,1.647e5,0.38
27.614,0.049,1.642e5,0.377
27.664,0.049,1.637e5,0.375
27.714,0.049,1.632e5,0.372
27.764,0.049,1.627e5,0.369
27.814,0.049,1.622e5,0.367
27.864,0.049,1.618e5,0.364
27.914,0.049,1.613e5,0.362
27.964,0.049,1.608e5,0.359
28.014,0.049,1.603e5,0.357
28.064,0.049,1.599e5,0.354
28.114,0.049,1.594e5,0.352
28.164,0.049,1.589e5,0.349
28.214,0.049,1.585e5,0.347
28.264,0.049,1.58e5,0.345
28.314,0.049,1.575e5,0.343
28.364,0.049,1.571e5,0.34
28.414,0.049,1.567e5,0.338
28.464,0.049,1.563e5,0.336
28.514,0.049,1.558e5,0.333
28.564,0.049,1.554e5,0.332
28.614,0.049,1.55e5,0.329
28.664,0.049,1.546e5,0.327
28.714,0.049,1.542e5,0.325
28.764,0.049,1.538e5,0.323
28.814,0.049,1.534e5,0.32
28.864,0.049,1.529e5,0.319
28.914,0.049,1.525e5,0.317
28.964,0.049,1.521e5,0.314
29.014,0.049,1.517e5,0.313
29.064,0.049,1.513e5,0.311
29.114,0.049,1.509e5,0.308
29.164,0.049,1.505e5,0.306
29.214,0.049,1.501e5,0.305
29.264,0.049,1.497e5,0.303
29.314,0.049,1.494e5,0.3
29.364,0.049,1.49e5,0.299
29.414,0.049,1.486e5,0.297
29.464,0.049,1.482e5,0.295
29.514,0.049,1.478e5,0.293
29.564,0.049,1.474e5,0.292
29.614,0.049,1.47e5,0.29
29.664,0.049,1.466e5,0.287
29.714,0.049,1.463e5,0.286
29.764,0.049,1.459e5,0.284
29.814,0.049,1.455e5,0.282
29.864,0.049,1.451e5,0.28
29.914,0.049,1.448e5,0.279
29.964,0.049,1.444e5,0.277
30.014,0.049,1.44e5,0.275
30.064,0.049,1.436e5,0.274
30.114,0.049,1.433e5,0.272
30.164,0.049,1.429e5,0.271
30.214,0.049,1.425e5,0.269
30.264,0.049,1.422e5,0.267
30.314,0.049,1.418e5,0.266
30.364,0.049,1.415e5,0.264
30.414,0.049,1.411e5,0.262
30.464,0.049,1.408e5,0.261
30.514,0.049,1.405e5,0.26
30.564,0.049,1.402e5,0.258
30.614,0.049,1.398e5,0.256
30.664,0.049,1.395e5,0.255
30.714,0.049,1.392e5,0.253
30.764,0.049,1.389e5,0.252
30.814,0.049,1.385e5,0.25
30.864,0.049,1.382e5,0.249
30.914,0.049,1.379e5,0.248
30.964,0.049,1.376e5,0.247
31.014,0.049,1.373e5,0.245
31.064,0.049,1.369e5,0.243
31.114,0.049,1.366e5,0.242
31.164,0.049,1.363e5,0.241
31.214,0.049,1.36e5,0.239
31.264,0.049,1.357e5,0.237
31.314,0.049,1.354e5,0.236
31.364,0.049,1.351e5,0.235
31.414,0.049,1.348e5,0.234
31.464,0.049,1.345e5,0.232
31.514,0.049,1.342e5,0.231
31.564,0.049,1.339e5,0.229
31.614,0.049,1.336e5,0.228
31.664,0.049,1.333e5,0.227
31.714,0.049,1.33e5,0.226
31.764,0.049,1.327e5,0.224
31.814,0.049,1.324e5,0.223
31.864,0.049,1.321e5,0.222
31.914,0.049,1.318e5,0.221
31.964,0.049,1.315e5,0.219
32.014,0.049,1.312e5,0.218
32.064,0.049,1.309e5,0.217
32.114,0.049,1.306e5,0.216
32.164,0.049,1.303e5,0.214
32.214,0.049,1.3e5,0.213
32.264,0.049,1.297e5,0.212
32.314,0.049,1.294e5,0.211
32.364,0.049,1.292e5,0.21
32.414,0.049,1.289e5,0.209
32.464,0.049,1.286e5,0.207
32.514,0.049,1.283e5,0.207
32.564,0.049,1.28e5,0.206
32.614,0.049,1.278e5,0.204
32.664,0.049,1.275e5,0.203
32.714,0.049,1.272e5,0.202
32.764,0.049,1.27e5,0.201
32.814,0.049,1.267e5,0.2
32.864,0.049,1.265e5,0.199
32.914,0.049,1.262e5,0.197
32.964,0.049,1.26e5,0.197
33.014,0.049,1.257e5,0.196
33.064,0.049,1.255e5,0.195
33.114,0.049,1.252e5,0.193
33.164,0.049,1.25e5,0.192
33.214,0.049,1.247e5,0.192
33.264,0.049,1.245e5,0.191
33.314,0.049,1.242e5,0.19
33.364,0.049,1.24e5,0.188
33.414,0.049,1.238e5,0.187
33.464,0.049,1.235e5,0.187
33.514,0.049,1.233e5,0.186
33.564,0.049,1.23e5,0.185
33.614,0.049,1.228e5,0.183
33.664,0.049,1.226e5,0.182
33.714,0.049,1.223e5,0.182
33.764,0.049,1.221e5,0.181
33.814,0.049,1.218e5,0.18
33.864,0.049,1.216e5,0.179
33.914,0.049,1.214e5,0.177
33.964,0.049,1.211e5,0.176
34.014,0.049,1.209e5,0.176
34.064,0.049,1.207e5,0.175
34.114,0.049,1.205e5,0.174
34.164,0.049,1.202e5,0.173
34.214,0.049,1.2e5,0.171
34.264,0.049,1.198e5,0.171
34.314,0.049,1.195e5,0.17
34.364,0.049,1.193e5,0.169
34.414,0.049,1.191e5,0.168
34.464,0.049,1.189e5,0.167
34.514,0.049,1.187e5,0.166
34.564,0.049,1.184e5,0.166
34.614,0.049,1.182e5,0.165
34.664,0.049,1.18e5,0.164
34.714,0.049,1.178e5,0.163
34.764,0.049,1.176e5,0.162
34.814,0.049,1.173e5,0.161
34.864,0.049,1.171e5,0.16
34.914,0.049,1.169e5,0.159
34.964,0.049,1.167e5,0.159
35.014,0.049,1.165e5,0.158
35.064,0.049,1.163e5,0.157
35.114,0.049,1.161e5,0.156
35.164,0.049,1.158e5,0.155
35.214,0.049,1.156e5,0.154
35.264,0.049,1.154e5,0.154
35.314,0.049,1.152e5,0.153
35.364,0.049,1.15e5,0.152
35.414,0.049,1.148e5,0.151
35.464,0.049,1.146e5,0.15
35.514,0.049,1.144e5,0.149
35.564,0.049,1.143e5,0.149
35.614,0.049,1.141e5,0.149
35.664,0.049,1.139e5,0.148
35.714,0.049,1.137e5,0.147
35.764,0.049,1.135e5,0.146
35.814,0.049,1.133e5,0.145
35.864,0.049,1.131e5,0.144
35.914,0.049,1.13e5,0.144
35.964,0.049,1.128e5,0.144
36.014,0.049,1.126e5,0.143
36.064,0.049,1.124e5,0.141
36.114,0.049,1.122e5,0.14
36.164,0.049,1.121e5,0.14
36.214,0.049,1.119e5,0.14
36.264,0.049,1.117e5,0.139
36.314,0.049,1.115e5,0.138
36.364,0.049,1.113e5,0.137
