# Simulation 6 (Up to date)
# 3268 data points written for 4 variables.
# Simulation warnings:
#   Listeners modified the flight simulation
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (538 ft/s)
#   Forward end of airframe is open (radius is > 0):  "Transition"
#
# Time (s),Longitudinal moment of inertia (kg·m²),Corrective moment coefficient (),Damping moment coefficient (​)
2.157,1.06,5.6e4,25.284
2.207,1.053,5.617e4,25.979
2.257,1.047,5.634e4,26.631
2.307,1.04,5.652e4,27.148
2.357,1.034,5.67e4,27.518
2.407,1.027,5.689e4,27.731
2.457,1.02,5.708e4,27.779
2.507,1.013,5.728e4,27.597
2.557,1.006,5.748e4,27.17
2.607,0.998,5.769e4,26.641
2.657,0.991,5.79e4,26.099
2.707,0.983,5.812e4,25.504
2.757,0.975,5.835e4,25.054
2.807,0.967,5.857e4,24.654
2.857,0.96,5.881e4,24.25
2.907,0.952,5.905e4,23.933
2.957,0.945,5.929e4,23.676
3.007,0.938,5.954e4,23.424
3.057,0.931,5.979e4,23.168
3.107,0.925,6.005e4,22.943
3.157,0.918,6.031e4,22.755
3.207,0.912,6.059e4,22.573
3.257,0.906,6.087e4,22.395
3.307,0.9,6.115e4,22.218
3.357,0.894,6.144e4,22.045
3.407,0.889,6.173e4,21.928
3.457,0.884,6.202e4,21.937
3.48,0.882,6.215e4,22.074
3.514,0.882,6.235e4,22.28
3.564,0.882,6.264e4,22.33
3.614,0.882,6.293e4,22.35
3.664,0.882,6.321e4,22.366
3.714,0.882,6.35e4,22.382
3.764,0.882,6.378e4,22.397
3.814,0.882,6.407e4,22.455
3.864,0.882,6.434e4,22.518
3.914,0.882,6.462e4,22.568
3.964,0.882,6.49e4,22.604
4.014,0.882,6.519e4,22.618
4.064,0.882,6.548e4,22.654
4.114,0.882,6.576e4,22.678
4.164,0.882,6.604e4,22.769
4.214,0.882,6.632e4,22.839
4.264,0.882,6.66e4,22.907
4.314,0.882,6.687e4,22.962
4.364,0.882,6.715e4,23.007
4.414,0.882,6.742e4,23.05
4.464,0.882,6.769e4,23.063
4.48,0.882,6.778e4,2.604
4.504,0.141,6.791e4,-9.147
4.541,0.141,6.811e4,2.606
4.591,0.141,6.838e4,2.609
4.641,0.141,6.864e4,2.612
4.691,0.141,6.891e4,2.615
4.741,0.141,6.917e4,2.617
4.791,0.141,6.944e4,2.619
4.841,0.141,6.97e4,2.621
4.891,0.141,6.997e4,2.623
4.941,0.141,7.024e4,2.623
4.991,0.141,7.052e4,2.624
5.041,0.141,7.079e4,2.625
5.091,0.141,7.106e4,2.626
5.141,0.141,7.133e4,2.628
5.191,0.141,7.159e4,2.629
5.241,0.141,7.186e4,2.629
5.291,0.141,7.213e4,2.627
5.341,0.141,7.239e4,2.625
5.391,0.141,7.266e4,2.621
5.441,0.141,7.292e4,2.617
5.491,0.141,7.319e4,2.61
5.541,0.141,7.345e4,2.604
5.591,0.141,7.371e4,2.596
5.641,0.141,7.397e4,2.588
5.691,0.141,7.423e4,2.579
5.741,0.141,7.449e4,2.568
5.791,0.141,7.474e4,2.558
5.841,0.141,7.5e4,2.547
5.891,0.141,7.525e4,2.535
5.941,0.141,7.552e4,2.523
5.991,0.141,7.578e4,2.51
6.041,0.141,7.605e4,2.496
6.091,0.141,7.631e4,2.483
6.141,0.141,7.657e4,2.469
6.191,0.141,7.684e4,2.454
6.241,0.141,7.71e4,2.439
6.291,0.141,7.736e4,2.423
6.341,0.141,7.762e4,2.408
6.391,0.141,7.787e4,2.392
6.441,0.141,7.813e4,2.375
6.491,0.141,7.839e4,2.359
6.541,0.141,7.864e4,2.342
6.591,0.141,7.89e4,2.325
6.641,0.141,7.915e4,2.308
6.691,0.141,7.94e4,2.291
6.741,0.141,7.966e4,2.273
6.791,0.141,7.991e4,2.256
6.841,0.141,8.016e4,2.237
6.891,0.141,8.041e4,2.22
6.941,0.141,8.065e4,2.201
6.991,0.141,8.09e4,2.183
7.041,0.141,8.115e4,2.165
7.091,0.141,8.14e4,2.147
7.141,0.141,8.165e4,2.129
7.191,0.141,8.191e4,2.112
7.241,0.141,8.216e4,2.094
7.291,0.141,8.242e4,2.075
7.341,0.141,8.267e4,2.057
7.391,0.141,8.292e4,2.039
7.441,0.141,8.317e4,2.02
7.491,0.141,8.342e4,2.002
7.541,0.141,8.367e4,1.984
7.591,0.141,8.392e4,1.966
7.641,0.141,8.417e4,1.948
7.691,0.141,8.442e4,1.93
7.741,0.141,8.466e4,1.912
7.791,0.141,8.491e4,1.895
7.841,0.141,8.515e4,1.876
7.891,0.141,8.539e4,1.859
7.941,0.141,8.563e4,1.842
7.991,0.141,8.587e4,1.825
8.041,0.141,8.611e4,1.808
8.091,0.141,8.635e4,1.79
8.141,0.141,8.659e4,1.774
8.191,0.141,8.683e4,1.757
8.241,0.141,8.706e4,1.74
8.291,0.141,8.73e4,1.724
8.341,0.141,8.753e4,1.708
8.391,0.141,8.777e4,1.692
8.441,0.141,8.8e4,1.677
8.491,0.141,8.825e4,1.662
8.541,0.141,8.849e4,1.647
8.591,0.141,8.873e4,1.631
8.641,0.141,8.897e4,1.617
8.691,0.141,8.921e4,1.602
8.741,0.141,8.945e4,1.588
8.791,0.141,8.969e4,1.574
8.841,0.141,8.992e4,1.56
8.891,0.141,9.016e4,1.547
8.941,0.141,9.04e4,1.533
8.991,0.141,9.063e4,1.52
9.041,0.141,9.086e4,1.507
9.091,0.141,9.11e4,1.494
9.141,0.141,9.133e4,1.482
9.191,0.141,9.156e4,1.469
9.241,0.141,9.179e4,1.457
9.291,0.141,9.202e4,1.445
9.341,0.141,9.225e4,1.433
9.391,0.141,9.248e4,1.421
9.441,0.141,9.27e4,1.41
9.491,0.141,9.293e4,1.398
9.541,0.141,9.316e4,1.387
9.591,0.141,9.338e4,1.376
9.641,0.141,9.361e4,1.364
9.691,0.141,9.383e4,1.354
9.741,0.141,9.405e4,1.343
9.791,0.141,9.427e4,1.332
9.841,0.141,9.449e4,1.322
9.891,0.141,9.471e4,1.311
9.941,0.141,9.493e4,1.301
9.991,0.141,9.516e4,1.291
10.041,0.141,9.538e4,1.281
10.091,0.141,9.561e4,1.271
10.141,0.141,9.584e4,1.262
10.191,0.141,9.607e4,1.252
10.241,0.141,9.629e4,1.244
10.291,0.141,9.652e4,1.234
10.341,0.141,9.674e4,1.225
10.391,0.141,9.697e4,1.216
10.441,0.141,9.719e4,1.206
10.491,0.141,9.741e4,1.198
10.541,0.141,9.763e4,1.188
10.591,0.141,9.785e4,1.181
10.641,0.141,9.807e4,1.172
10.691,0.141,9.829e4,1.164
10.741,0.141,9.851e4,1.155
10.791,0.141,9.873e4,1.146
10.841,0.141,9.895e4,1.139
10.891,0.141,9.917e4,1.131
10.941,0.141,9.938e4,1.123
10.991,0.141,9.96e4,1.115
11.041,0.141,9.981e4,1.107
11.091,0.141,1e5,1.099
11.141,0.141,1.002e5,1.092
11.191,0.141,1.005e5,1.084
11.241,0.141,1.007e5,1.077
11.291,0.141,1.009e5,1.07
11.341,0.141,1.011e5,1.063
11.391,0.141,1.013e5,1.056
11.441,0.141,1.015e5,1.05
11.48,0.141,1.017e5,1.061
11.53,0.141,1.019e5,1.064
11.58,0.14,1.021e5,1.105
11.63,0.14,1.023e5,1.14
11.68,0.139,1.025e5,1.21
11.73,0.139,1.028e5,1.286
11.78,0.138,1.031e5,1.367
11.83,0.137,1.033e5,1.45
11.88,0.137,1.036e5,1.534
11.93,0.136,1.039e5,1.615
11.98,0.136,1.042e5,1.691
12.03,0.135,1.046e5,1.761
12.08,0.134,1.049e5,1.816
12.13,0.134,1.053e5,1.853
12.18,0.133,1.056e5,1.869
12.23,0.132,1.06e5,1.86
12.28,0.132,1.064e5,1.822
12.33,0.131,1.068e5,1.78
12.38,0.13,1.073e5,1.734
12.43,0.13,1.077e5,1.703
12.48,0.129,1.082e5,1.669
12.53,0.128,1.086e5,1.644
12.58,0.128,1.091e5,1.615
12.63,0.127,1.096e5,1.596
12.68,0.126,1.101e5,1.577
12.73,0.126,1.106e5,1.56
12.78,0.125,1.112e5,1.547
12.83,0.124,1.117e5,1.537
12.88,0.124,1.123e5,1.525
12.93,0.123,1.129e5,1.52
12.98,0.123,1.136e5,1.509
13.03,0.122,1.142e5,1.501
13.08,0.122,1.148e5,1.49
13.13,0.121,1.155e5,1.479
13.18,0.121,1.162e5,1.47
13.23,0.12,1.169e5,1.462
13.28,0.12,1.175e5,1.452
13.33,0.119,1.183e5,1.447
13.38,0.119,1.19e5,1.445
13.43,0.118,1.197e5,1.436
13.48,0.118,1.204e5,1.429
13.53,0.117,1.212e5,1.434
13.58,0.117,1.22e5,1.426
13.63,0.117,1.228e5,1.418
13.68,0.116,1.236e5,1.414
13.73,0.116,1.244e5,1.413
13.78,0.116,1.252e5,1.406
13.83,0.116,1.26e5,1.398
13.88,0.115,1.268e5,1.391
13.93,0.115,1.277e5,1.383
13.98,0.115,1.285e5,1.382
14.03,0.115,1.293e5,1.378
14.08,0.115,1.302e5,1.37
14.13,0.114,1.31e5,1.363
14.18,0.114,1.319e5,1.356
14.23,0.114,1.328e5,1.35
14.28,0.114,1.337e5,1.344
14.33,0.114,1.346e5,1.34
14.38,0.114,1.355e5,1.336
14.43,0.113,1.364e5,1.328
14.48,0.113,1.373e5,1.322
14.53,0.113,1.383e5,1.316
14.58,0.113,1.392e5,1.31
14.63,0.113,1.401e5,1.306
14.68,0.113,1.41e5,1.298
14.73,0.113,1.419e5,1.293
14.78,0.113,1.429e5,1.287
14.83,0.112,1.438e5,1.281
14.88,0.112,1.448e5,1.275
14.93,0.112,1.458e5,1.269
14.98,0.112,1.468e5,1.263
15.03,0.112,1.477e5,1.257
15.08,0.112,1.487e5,1.252
15.13,0.112,1.497e5,1.246
15.18,0.112,1.507e5,1.241
15.23,0.112,1.517e5,1.236
15.28,0.112,1.527e5,1.229
15.33,0.111,1.537e5,1.223
15.38,0.111,1.547e5,1.219
15.43,0.111,1.557e5,1.213
15.48,0.111,1.567e5,1.208
15.53,0.111,1.578e5,1.202
15.58,0.111,1.588e5,1.199
15.63,0.111,1.599e5,1.194
15.68,0.111,1.61e5,1.189
15.73,0.111,1.62e5,1.183
15.78,0.111,1.631e5,1.178
15.83,0.111,1.641e5,1.174
15.88,0.111,1.652e5,1.173
15.93,0.111,1.662e5,1.168
15.98,0.111,1.673e5,1.162
16.03,0.111,1.684e5,1.157
16.08,0.111,1.694e5,1.153
16.13,0.111,1.705e5,1.149
16.18,0.111,1.716e5,1.147
16.192,0.111,1.718e5,1.146
16.21,0.111,1.722e5,1.145
16.237,0.111,1.728e5,1.142
16.277,0.111,1.737e5,1.138
16.327,0.111,1.748e5,1.133
16.377,0.111,1.76e5,1.129
16.427,0.111,1.771e5,1.125
16.477,0.111,1.782e5,1.121
16.527,0.111,1.793e5,1.117
16.577,0.111,1.804e5,1.113
16.627,0.111,1.814e5,1.108
16.677,0.111,1.825e5,1.105
16.727,0.111,1.836e5,1.101
16.777,0.111,1.847e5,1.096
16.827,0.111,1.858e5,1.092
16.877,0.111,1.869e5,1.088
16.927,0.111,1.881e5,1.085
16.977,0.111,1.892e5,1.082
17.027,0.111,1.904e5,1.079
17.077,0.111,1.915e5,1.074
17.127,0.111,1.926e5,1.071
17.177,0.111,1.938e5,1.068
17.227,0.111,1.949e5,1.064
17.277,0.111,1.96e5,1.059
17.327,0.111,1.972e5,1.056
17.377,0.111,1.983e5,1.052
17.427,0.111,1.994e5,1.049
17.477,0.111,2.005e5,1.046
17.527,0.111,2.017e5,1.043
17.577,0.111,2.028e5,1.04
17.627,0.111,2.039e5,1.036
17.677,0.111,2.051e5,1.034
17.727,0.111,2.063e5,1.03
17.777,0.111,2.075e5,1.027
17.827,0.111,2.086e5,1.024
17.877,0.111,2.098e5,1.021
17.927,0.111,2.11e5,1.017
17.977,0.111,2.121e5,1.015
18.027,0.111,2.133e5,1.013
18.077,0.111,2.145e5,1.009
18.127,0.111,2.156e5,1.007
18.177,0.111,2.168e5,1.004
18.227,0.111,2.18e5,1.001
18.277,0.111,2.191e5,0.998
18.327,0.111,2.203e5,0.995
18.377,0.111,2.214e5,0.992
18.427,0.111,2.226e5,0.989
18.477,0.111,2.238e5,0.987
18.527,0.111,2.25e5,0.983
18.577,0.111,2.262e5,0.981
18.627,0.111,2.274e5,0.979
18.677,0.111,2.286e5,0.977
18.727,0.111,2.299e5,0.975
18.777,0.111,2.311e5,0.973
18.827,0.111,2.323e5,0.97
18.877,0.111,2.335e5,0.968
18.927,0.111,2.347e5,0.966
18.977,0.111,2.359e5,0.963
19.027,0.111,2.371e5,0.961
19.077,0.111,2.383e5,0.959
19.127,0.111,2.394e5,0.956
19.177,0.111,2.406e5,0.953
19.227,0.111,2.418e5,0.951
19.277,0.111,2.43e5,0.948
19.327,0.111,2.442e5,0.947
19.377,0.111,2.454e5,0.945
19.427,0.111,2.467e5,0.944
19.477,0.111,2.48e5,0.942
19.527,0.111,2.492e5,0.94
19.577,0.111,2.505e5,0.938
19.627,0.111,2.517e5,0.937
19.677,0.111,2.529e5,0.936
19.727,0.111,2.542e5,0.934
19.777,0.111,2.554e5,0.931
19.827,0.111,2.567e5,0.929
19.877,0.111,2.579e5,0.927
19.927,0.111,2.591e5,0.925
19.977,0.111,2.604e5,0.922
20.027,0.111,2.616e5,0.921
20.077,0.111,2.628e5,0.92
20.127,0.111,2.64e5,0.918
20.177,0.111,2.653e5,0.917
20.227,0.111,2.665e5,0.915
20.277,0.111,2.677e5,0.914
20.327,0.111,2.69e5,0.913
20.377,0.111,2.703e5,0.912
20.427,0.111,2.716e5,0.91
20.477,0.111,2.729e5,0.909
20.527,0.111,2.741e5,0.908
20.577,0.111,2.754e5,0.906
20.627,0.111,2.767e5,0.905
20.677,0.111,2.78e5,0.904
20.727,0.111,2.793e5,0.902
20.777,0.111,2.806e5,0.9
20.827,0.111,2.818e5,0.899
20.877,0.111,2.831e5,0.897
20.927,0.111,2.844e5,0.897
20.977,0.111,2.857e5,0.896
21.027,0.111,2.869e5,0.895
21.077,0.111,2.882e5,0.895
21.127,0.111,2.894e5,0.894
21.177,0.111,2.907e5,0.894
21.227,0.111,2.92e5,0.892
21.277,0.111,2.932e5,0.892
21.327,0.111,2.944e5,0.891
21.377,0.111,2.931e5,0.889
21.427,0.111,2.917e5,0.889
21.477,0.111,2.904e5,0.888
21.527,0.111,2.89e5,0.886
21.577,0.111,2.877e5,0.885
21.627,0.111,2.864e5,0.884
21.677,0.111,2.85e5,0.883
21.727,0.111,2.837e5,0.881
21.777,0.111,2.824e5,0.88
21.827,0.111,2.811e5,0.879
21.877,0.111,2.798e5,0.878
21.927,0.111,2.785e5,0.877
21.977,0.111,2.772e5,0.876
22.027,0.111,2.76e5,0.874
22.077,0.111,2.747e5,0.872
22.127,0.111,2.734e5,0.87
22.177,0.111,2.722e5,0.868
22.227,0.111,2.709e5,0.866
22.277,0.111,2.696e5,0.864
22.327,0.111,2.684e5,0.861
22.377,0.111,2.672e5,0.858
22.427,0.111,2.659e5,0.856
22.477,0.111,2.647e5,0.853
22.527,0.111,2.636e5,0.85
22.577,0.111,2.625e5,0.847
22.627,0.111,2.614e5,0.844
22.677,0.111,2.603e5,0.841
22.727,0.111,2.592e5,0.837
22.777,0.111,2.581e5,0.834
22.827,0.111,2.57e5,0.83
22.877,0.111,2.559e5,0.827
22.927,0.111,2.548e5,0.823
22.977,0.111,2.537e5,0.819
23.027,0.111,2.526e5,0.816
23.077,0.111,2.515e5,0.812
23.127,0.111,2.505e5,0.808
23.177,0.111,2.494e5,0.803
23.227,0.111,2.484e5,0.799
23.277,0.111,2.473e5,0.795
23.327,0.111,2.463e5,0.791
23.377,0.111,2.452e5,0.787
23.427,0.111,2.442e5,0.782
23.477,0.111,2.431e5,0.778
23.527,0.111,2.421e5,0.773
23.577,0.111,2.411e5,0.769
23.627,0.111,2.401e5,0.765
23.677,0.111,2.391e5,0.761
23.727,0.111,2.381e5,0.756
23.777,0.111,2.372e5,0.752
23.827,0.111,2.362e5,0.747
23.877,0.111,2.353e5,0.743
23.927,0.111,2.344e5,0.738
23.977,0.111,2.335e5,0.734
24.027,0.111,2.326e5,0.729
24.077,0.111,2.317e5,0.725
24.127,0.111,2.308e5,0.72
24.177,0.111,2.299e5,0.716
24.227,0.111,2.29e5,0.711
24.277,0.111,2.281e5,0.707
24.327,0.111,2.272e5,0.702
24.377,0.111,2.263e5,0.697
24.427,0.111,2.254e5,0.693
24.477,0.111,2.246e5,0.688
24.527,0.111,2.237e5,0.683
24.577,0.111,2.228e5,0.679
24.627,0.111,2.22e5,0.674
24.677,0.111,2.211e5,0.67
24.727,0.111,2.202e5,0.665
24.777,0.111,2.194e5,0.661
24.827,0.111,2.185e5,0.655
24.877,0.111,2.177e5,0.651
24.927,0.111,2.168e5,0.647
24.977,0.111,2.16e5,0.642
25.027,0.111,2.152e5,0.638
25.077,0.111,2.144e5,0.633
25.127,0.111,2.136e5,0.629
25.177,0.111,2.129e5,0.624
25.227,0.111,2.121e5,0.62
25.277,0.111,2.114e5,0.616
25.327,0.111,2.106e5,0.611
25.377,0.111,2.099e5,0.607
25.427,0.111,2.091e5,0.602
25.477,0.111,2.084e5,0.598
25.527,0.111,2.076e5,0.593
25.577,0.111,2.069e5,0.589
25.627,0.111,2.062e5,0.585
25.677,0.111,2.054e5,0.58
25.727,0.111,2.047e5,0.576
25.777,0.111,2.04e5,0.572
25.827,0.111,2.033e5,0.568
25.877,0.111,2.026e5,0.564
25.927,0.111,2.018e5,0.56
25.977,0.111,2.011e5,0.555
26.027,0.111,2.004e5,0.551
26.077,0.111,1.997e5,0.547
26.127,0.111,1.99e5,0.543
26.177,0.111,1.983e5,0.539
26.227,0.111,1.976e5,0.535
26.277,0.111,1.969e5,0.531
26.327,0.111,1.962e5,0.527
26.377,0.111,1.956e5,0.523
26.427,0.111,1.949e5,0.519
26.477,0.111,1.942e5,0.516
26.527,0.111,1.935e5,0.512
26.577,0.111,1.929e5,0.508
26.627,0.111,1.923e5,0.504
26.677,0.111,1.917e5,0.501
26.727,0.111,1.911e5,0.497
26.777,0.111,1.904e5,0.493
26.827,0.111,1.898e5,0.49
26.877,0.111,1.892e5,0.487
26.927,0.111,1.886e5,0.483
26.977,0.111,1.88e5,0.48
27.027,0.111,1.874e5,0.476
27.077,0.111,1.868e5,0.473
27.127,0.111,1.862e5,0.47
27.177,0.111,1.856e5,0.466
27.227,0.111,1.85e5,0.463
27.277,0.111,1.844e5,0.46
27.327,0.111,1.839e5,0.456
27.377,0.111,1.833e5,0.453
27.427,0.111,1.827e5,0.45
27.477,0.111,1.821e5,0.447
27.527,0.111,1.815e5,0.444
27.577,0.111,1.81e5,0.441
27.627,0.111,1.804e5,0.437
27.677,0.111,1.798e5,0.435
27.727,0.111,1.792e5,0.432
27.777,0.111,1.787e5,0.428
27.827,0.111,1.781e5,0.426
27.877,0.111,1.776e5,0.423
27.927,0.111,1.77e5,0.42
27.977,0.111,1.764e5,0.417
28.027,0.111,1.759e5,0.414
28.077,0.111,1.753e5,0.411
28.127,0.111,1.748e5,0.409
28.177,0.111,1.743e5,0.406
28.227,0.111,1.738e5,0.403
28.277,0.111,1.733e5,0.401
28.327,0.111,1.728e5,0.398
28.377,0.111,1.723e5,0.395
28.427,0.111,1.718e5,0.393
28.477,0.111,1.713e5,0.39
28.527,0.111,1.708e5,0.387
28.577,0.111,1.703e5,0.385
28.627,0.111,1.698e5,0.383
28.677,0.111,1.693e5,0.38
28.727,0.111,1.688e5,0.378
28.777,0.111,1.683e5,0.375
28.827,0.111,1.679e5,0.373
28.877,0.111,1.674e5,0.37
28.927,0.111,1.669e5,0.368
28.977,0.111,1.664e5,0.365
29.027,0.111,1.659e5,0.363
29.077,0.111,1.655e5,0.361
29.127,0.111,1.65e5,0.359
29.177,0.111,1.645e5,0.356
29.227,0.111,1.641e5,0.354
29.277,0.111,1.636e5,0.352
29.327,0.111,1.631e5,0.35
29.377,0.111,1.627e5,0.348
29.427,0.111,1.622e5,0.346
29.477,0.111,1.618e5,0.343
29.527,0.111,1.613e5,0.341
29.577,0.111,1.608e5,0.339
29.627,0.111,1.604e5,0.337
29.677,0.111,1.599e5,0.335
29.727,0.111,1.595e5,0.333
29.777,0.111,1.59e5,0.331
29.827,0.111,1.586e5,0.328
29.877,0.111,1.582e5,0.327
29.927,0.111,1.577e5,0.325
29.977,0.111,1.573e5,0.323
30.027,0.111,1.569e5,0.321
30.077,0.111,1.565e5,0.319
30.127,0.111,1.561e5,0.317
30.177,0.111,1.557e5,0.315
30.227,0.111,1.553e5,0.313
30.277,0.111,1.549e5,0.311
30.327,0.111,1.545e5,0.31
30.377,0.111,1.541e5,0.308
30.427,0.111,1.537e5,0.306
30.477,0.111,1.533e5,0.304
30.527,0.111,1.529e5,0.303
30.577,0.111,1.525e5,0.301
30.627,0.111,1.521e5,0.299
30.677,0.111,1.517e5,0.297
30.727,0.111,1.513e5,0.296
30.777,0.111,1.51e5,0.294
30.827,0.111,1.506e5,0.292
30.877,0.111,1.502e5,0.29
30.927,0.111,1.498e5,0.289
30.977,0.111,1.494e5,0.287
31.027,0.111,1.491e5,0.285
31.077,0.111,1.487e5,0.284
31.127,0.111,1.483e5,0.282
31.177,0.111,1.479e5,0.28
31.227,0.111,1.476e5,0.279
31.277,0.111,1.472e5,0.277
31.327,0.111,1.468e5,0.276
31.377,0.111,1.465e5,0.274
31.427,0.111,1.461e5,0.273
31.477,0.111,1.457e5,0.271
31.527,0.111,1.454e5,0.27
31.577,0.111,1.45e5,0.268
31.627,0.111,1.446e5,0.267
31.677,0.111,1.443e5,0.265
31.727,0.111,1.439e5,0.263
31.777,0.111,1.436e5,0.262
31.827,0.111,1.432e5,0.26
31.877,0.111,1.429e5,0.259
31.927,0.111,1.425e5,0.258
31.977,0.111,1.421e5,0.256
32.027,0.111,1.418e5,0.255
32.077,0.111,1.415e5,0.253
32.127,0.111,1.411e5,0.252
32.177,0.111,1.408e5,0.251
32.227,0.111,1.405e5,0.25
32.277,0.111,1.402e5,0.248
32.327,0.111,1.399e5,0.246
32.377,0.111,1.396e5,0.245
32.427,0.111,1.392e5,0.244
32.477,0.111,1.389e5,0.243
32.527,0.111,1.386e5,0.242
32.577,0.111,1.383e5,0.24
32.627,0.111,1.38e5,0.239
32.677,0.111,1.377e5,0.238
32.727,0.111,1.374e5,0.237
32.777,0.111,1.371e5,0.235
32.827,0.111,1.368e5,0.233
32.877,0.111,1.365e5,0.232
32.927,0.111,1.362e5,0.231
32.977,0.111,1.359e5,0.23
33.027,0.111,1.356e5,0.229
33.077,0.111,1.353e5,0.227
33.127,0.111,1.35e5,0.226
33.177,0.111,1.347e5,0.225
33.227,0.111,1.344e5,0.224
33.277,0.111,1.341e5,0.222
33.327,0.111,1.338e5,0.221
33.377,0.111,1.335e5,0.22
33.427,0.111,1.332e5,0.219
33.477,0.111,1.329e5,0.218
33.527,0.111,1.326e5,0.217
33.577,0.111,1.323e5,0.215
33.627,0.111,1.32e5,0.214
33.677,0.111,1.318e5,0.213
33.727,0.111,1.315e5,0.212
33.777,0.111,1.312e5,0.211
33.827,0.111,1.309e5,0.21
33.877,0.111,1.306e5,0.209
33.927,0.111,1.303e5,0.208
33.977,0.111,1.301e5,0.206
34.027,0.111,1.298e5,0.206
34.077,0.111,1.295e5,0.205
34.127,0.111,1.292e5,0.204
34.177,0.111,1.289e5,0.202
34.227,0.111,1.287e5,0.201
34.277,0.111,1.284e5,0.2
34.327,0.111,1.281e5,0.199
34.377,0.111,1.278e5,0.198
34.427,0.111,1.276e5,0.197
34.477,0.111,1.273e5,0.196
34.527,0.111,1.271e5,0.195
34.577,0.111,1.268e5,0.194
34.627,0.111,1.266e5,0.193
34.677,0.111,1.263e5,0.192
34.727,0.111,1.261e5,0.191
34.777,0.111,1.259e5,0.19
34.827,0.111,1.256e5,0.189
34.877,0.111,1.254e5,0.188
34.927,0.111,1.251e5,0.187
34.977,0.111,1.249e5,0.186
35.027,0.111,1.247e5,0.185
35.077,0.111,1.244e5,0.184
35.127,0.111,1.242e5,0.183
35.177,0.111,1.239e5,0.182
35.227,0.111,1.237e5,0.181
35.277,0.111,1.235e5,0.181
35.327,0.111,1.232e5,0.18
35.377,0.111,1.23e5,0.179
35.427,0.111,1.228e5,0.178
35.477,0.111,1.225e5,0.177
35.527,0.111,1.223e5,0.176
35.577,0.111,1.221e5,0.175
35.627,0.111,1.218e5,0.174
35.677,0.111,1.216e5,0.173
35.727,0.111,1.214e5,0.172
35.777,0.111,1.212e5,0.171
35.827,0.111,1.209e5,0.171
35.877,0.111,1.207e5,0.17
35.927,0.111,1.205e5,0.169
35.977,0.111,1.203e5,0.168
36.027,0.111,1.2e5,0.167
36.077,0.111,1.198e5,0.166
36.127,0.111,1.196e5,0.165
36.177,0.111,1.194e5,0.164
36.227,0.111,1.192e5,0.163
36.277,0.111,1.189e5,0.163
36.327,0.111,1.187e5,0.162
36.377,0.111,1.185e5,0.161
36.427,0.111,1.183e5,0.16
36.477,0.111,1.181e5,0.159
36.527,0.111,1.179e5,0.159
36.577,0.111,1.177e5,0.158
36.627,0.111,1.174e5,0.157
36.677,0.111,1.172e5,0.156
